Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
Gamera,https://www.crunchbase.com/organization/gamera-9542,2026-01-20,Seed,1-10,"Wilmington, Delaware, United States",Gamera is a SaaS company that offers software for performance based site analytics in real time.,1600000,USD,1600000,"AperiamVentures, TD7",https://gamera.app/
Vestaboard,https://www.crunchbase.com/organization/vestaboard,2026-01-13,Seed,11-50,"Menlo Park, California, United States",Vestaboard develops an internet-connected display intended to help design and provide information through wall-hanging screens.,380000,USD,380000,,https://www.vestaboard.com/
TBook,https://www.crunchbase.com/organization/tbook,2026-01-09,Seed,11-50,"New York, New York, United States","TBook is a full-stack, chain-agnostic infrastructure layer designed for the digital workforce.",,,,"SevenX Ventures, Sui Foundation",https://www.tbook.com/
Sophia Space,https://www.crunchbase.com/organization/sophia-space,2026-01-09,Seed,1-10,"Pasadena, California, United States",Sophia Space is a space-tech startup building an orbital computing infrastructure.,258094,USD,258094,Unlock Venture Partners,https://sophia.space
Drover Labs,https://www.crunchbase.com/organization/formabotics,2026-01-05,Seed,1-10,"Berkeley, California, United States",Autonomy for Industrial Interiors,3100000,USD,3100000,,https://droverlabs.ai
Fencer,https://www.crunchbase.com/organization/fencer,2026-01-13,Seed,11-50,"West New York, New Jersey, United States",Fencer provides an integrated cybersecurity and compliance platform for software startups.,5500000,USD,5500000,MHS Capital,https://fencer.dev
MindFort AI,https://www.crunchbase.com/organization/mindfort-ai,2026-01-01,Seed,1-10,"San Francisco, California, United States",Mindfort AI is an Autonomous AI Security Agent platform that perform continuous penetration testing of your attack surface at massive scale.,,,,Y Combinator,https://mindfort.ai
Topos Bio,https://www.crunchbase.com/organization/topos-bio,2026-01-08,Seed,,"San Francisco, California, United States",An AI-powered biotechnology company developing therapies for intrinsically disordered proteins (IDPs),10500000,USD,10500000,"boldstart ventures, Neo, Threshold",https://www.toposbio.ai/
Bawi,https://www.crunchbase.com/organization/bawi-1a8e,2026-01-16,Seed,1-10,"Austin, Texas, United States",Bawi is a food and drinks company that develops sparkling agua fresca inspired by traditional flavors.,4178014,USD,4178014,Brand Foundry Ventures,https://drinkbawi.com
Foodnerd,https://www.crunchbase.com/organization/foodnerd,2026-01-20,Seed,1-10,"Buffalo, New York, United States",Vegan specialty food manufacturer,7500000,USD,7500000,Selva Ventures,https://www.foodnerdinc.com/
AlphaBitCore,https://www.crunchbase.com/organization/alphabitcore,2026-01-15,Seed,11-50,"Chicago, Illinois, United States",Virtualization layer for Enterprise AI,2500000,USD,2500000,,https://alphabitcore.com
Altido Therapeutics,https://www.crunchbase.com/organization/altido-therapeutics,2026-01-28,Seed,1-10,"Waltham, Massachusetts, United States",Altido Therapeutics was formed to drive forward development of a potential new cell therapy treatment for glioblastoma.,12500000,USD,12500000,ARCH Venture Partners,https://altidotx.com/
Soundromeda,https://www.crunchbase.com/organization/soundromeda,2026-01-01,Seed,1-10,"Santa Monica, California, United States",The AI-powered music gaming entertainment ecosystem for Gen-Z,500000,USD,500000,,https://soundromeda.com
Fanchize,https://www.crunchbase.com/organization/fanchize,2026-01-26,Seed,1-10,"Los Angeles, California, United States","SportsTech, Fan Engagement, Digital Collectibles, NIL, Social Media, Marketplaces",,,,,https://fanchize.com
Onsetto,https://www.crunchbase.com/organization/onsetto,2026-01-08,Seed,1-10,"Minneapolis, Minnesota, United States",Onsetto operates as a business account switching and relationship-primacy platform.,2200000,USD,2200000,EJF Capital,https://onsetto.com/
"ClarityCastle, inc.",https://www.crunchbase.com/organization/claritycastle,2026-01-01,Seed,1-10,"Houston, Texas, United States",Deployable modular office pods that reduce construction cost and waste by replacing traditional office buildouts.,65000,USD,65000,,https://theclaritycastle.com
Kineolabs,https://www.crunchbase.com/organization/kineolabs,2026-01-05,Seed,1-10,"Billerica, Massachusetts, United States",Kineolabs is a developer of early disease detection and monitoring instruments.,999997,USD,999997,,https://www.kineolabs.com
Foundry Robotics,https://www.crunchbase.com/organization/foundry-robotics,2026-01-29,Seed,1-10,"San Francisco, California, United States",Foundry Robotics is an AI driven robotics company rebuilding manufacturing with advanced assembly automation and production systems.,5500000,USD,5500000,,https://www.foundryrobotics.ai/
Pye,https://www.crunchbase.com/organization/pye,2026-01-26,Seed,11-50,"Hoover, Alabama, United States","Pye is a developer of self service solutions for quick service restaurants, tableside ordering, online ordering, and entertainment",595000,USD,595000,gener8tor,https://mypyepos.com/
Bucket Robotics,https://www.crunchbase.com/organization/bucket-robotics,2026-01-01,Seed,1-10,"Pittsburgh, Pennsylvania, United States",Bucket Robotics manufactures automated defect detection systems which help in the quality control processes.,,,,Y Combinator,https://www.bucket.bot/
1849 Bio,https://www.crunchbase.com/organization/1849-bio,2026-01-01,Seed,1-10,"San Francisco, California, United States",1849 Bio creates microbes for affordable metal extraction from low-grade copper and gold ores.,,,,Y Combinator,https://www.1849.bio/
Lexly AI,https://www.crunchbase.com/organization/lexly-ai,2026-01-02,Seed,1-10,"Newark, Delaware, United States","Lexly is a legal technology platform that provides automated legal document creation, online legal advice, and contract management services.",500000,USD,500000,,https://lexly.tr
Collage,https://www.crunchbase.com/organization/collage-523d,2026-01-12,Seed,1-10,"Lakewood, Colorado, United States","The most innovative, AI-driven DAM platform, designed with a user-first experience to elevate brand and content management effortlessly.",970000,USD,970000,,https://www.collage.inc/
Deconflict,https://www.crunchbase.com/organization/deconflict,2026-01-08,Seed,1-10,"San Francisco, California, United States",Deconflict is an AI-driven crypto intelligence platform preventing fraud and coordinating law enforcement investigations.,1745000,USD,1745000,,https://deconflict.com/
Village,https://www.crunchbase.com/organization/village-222a,2026-01-14,Seed,11-50,"Los Angeles, California, United States",Village is nonprofit building compassionate community by providing nutritious meals and essential support.,9484760,USD,9484760,,https://www.myvillage.co/provider
Siloam Vision,https://www.crunchbase.com/organization/siloam-vision,2026-01-28,Seed,1-10,"Lake Oswego, Oregon, United States","Siloam Vision explores ophthalmic devices and software for vision assessment, therapy, and low‑vision support.",350000,USD,350000,,https://www.siloamvision.com
EnSafe,https://www.crunchbase.com/organization/ensafe,2026-01-29,Seed,251-500,"Memphis, Tennessee, United States",EnSafe Provider of consulting services.,700770,USD,700770,,http://www.ensafe.com/
Zero Energy Homes,https://www.crunchbase.com/organization/zero-energy-homes,2026-01-12,Seed,11-50,"Mount Desert, Maine, United States",Zero Energy Homes is a construction company that provides home designs and ecofriendly buildings.,515584,USD,515584,,https://zeroenergyhomes.coop
Web3 Files Network,https://www.crunchbase.com/organization/web3-files-network,2026-01-01,Seed,1-10,"Tampa, Florida, United States","Web3 Files Network: Easily upload, manage & share files on IPFS—no blockchain skills needed. Free & paid plans, APIs & blockchain names.",50000,USD,50000,,https://web3files.net/
Cerulion,https://www.crunchbase.com/organization/cerulion,2026-01-01,Seed,1-10,"San Francisco, California, United States",Cerulion is a Robotics Engineering firm that manufactures and provide operating system for robots.,,,,Y Combinator,https://www.cerulion.com/
CleanHaus,https://www.crunchbase.com/organization/cleanhaus,2026-01-12,Seed,1-10,"Portland, Oregon, United States",CleanHaus is an AI-powered operations platform designed for short-term rental hosts and cleaners to automate scheduling and payments.,250000,USD,250000,Elevate Capital,https://www.landing.clean.haus
Tellia,https://www.crunchbase.com/organization/tellia,2026-01-22,Seed,1-10,"Dover, Delaware, United States",Tellia is an agtech company that offers voice assisted operating software for farmers and agronomic advisers.,2999997,USD,2999997,,https://tell-ia.com/
Public Opinion,https://www.crunchbase.com/organization/public-opinion-0a26,2026-01-12,Seed,1-10,"New York, New York, United States",Public Opinion is a media and entertainment company that produces and creates shows and commercial projects.,1557092,USD,1557092,,https://www.publicopinion.nyc/
Neuropacs,https://www.crunchbase.com/organization/neuropacs,2026-01-20,Seed,1-10,"Gainesville, Florida, United States","Neuropacs is an AI-based software platform, specializes in neurodegenerative diseases.",1000000,USD,1000000,Neuro Investment Group,https://neuropacs.com/
NetZeroImpact,https://www.crunchbase.com/organization/netzeroimpact,2026-01-01,Seed,,"Austin, Texas, United States",NetZeroImpact is a technology company.,1425000,USD,1425000,,
HyperLend,https://www.crunchbase.com/organization/hyperlend,2026-01-21,Seed,,"Delaware City, Delaware, United States",HyperLend is the operator of a money-market platform using the EVM chain to make lending and borrowing digital assets efficient and secure.,1700000,USD,1700000,,https://www.hyperlend.finance/
NBO Pharma,https://www.crunchbase.com/organization/nbo-pharma,2026-01-22,Seed,1-10,"Bedford, New York, United States",NBO Pharma is a biotechnology company that develops drug for the treatment of Idiopathic Intracranial Hypertension.,7640217,USD,7640217,,https://nbopharma.com/
Applied Brain Research,https://www.crunchbase.com/organization/applied-brain-research,2026-01-12,Seed,11-50,"Waterloo, Ontario, Canada",ABR makes the world's smallest edge AI chip for time-series processing and the world's most advanced neuromoprhic compiler.,,,,Two Small Fish Ventures,http://www.appliedbrainresearch.com
Samba Solutions,https://www.crunchbase.com/organization/samba-solutions,2026-01-28,Seed,51-100,"San Jose, California, United States",Samba Solutions is a semiconductor equipment firm that focuses on AI-enabled improved packaging solutions.,1000000,USD,1000000,YMC,https://www.sambainc.com/
Hometown Pet,https://www.crunchbase.com/organization/hometown-pet,2026-01-15,Seed,1-10,"San Francisco, California, United States","Hometown Pet premium pet health and wellness brand delivering modern hygiene, care, and services.",2700000,USD,2700000,,
BlueJam,https://www.crunchbase.com/organization/bluejam,2026-01-15,Seed,1-10,"Long Island City, New York, United States",BlueJam offers an AI-powered platform for clear articulation and engagement of strategy across all employee levels.,500000,USD,500000,,https://bluejam.io
VyTek,https://www.crunchbase.com/organization/vytek,2026-01-05,Seed,1-10,"Dallas, Texas, United States",VyTek Civilization Stack is a nation-building technology company redefining the foundation of modern civilization.,2000000,USD,2000000,"FasterCapital, Hesham Zreik",https://www.vytek-it.com/
Brella Pak,https://www.crunchbase.com/organization/brella-pak,2026-01-20,Seed,1-10,"Chicago, Illinois, United States","Brella Pak is a co-packing services providing flexible beverage production, filling, packaging, and regulatory compliance.",1500000,USD,1500000,,http://www.brellapak.com/
Render,https://www.crunchbase.com/organization/render-280f,2026-01-15,Seed,,"Franklin, Tennessee, United States",Render is a fintech company that offers a platform for payments and transaction processing.,500000,USD,500000,,https://www.renderpayments.com/
dmodel,https://www.crunchbase.com/organization/d-model,2026-01-01,Seed,1-10,"San Francisco, California, United States","dmodel allows firms to see how AI thinks and change its responses, boosting customer service without complete retraining.",,,,Y Combinator,https://dmodel.ai/
Ferra,https://www.crunchbase.com/organization/ferra-7bd3,2026-01-28,Seed,1-10,"New York, New York, United States",Ferra offers an AI-native structural steel estimating platform built for modern fabricators.,3315000,USD,3315000,,https://bidferra.com/
"Tomorrows Laundry, Co.",https://www.crunchbase.com/organization/tomorrows-laundry-co,2026-01-06,Seed,1-10,"Los Angeles, California, United States",Possibly the Worlds Best Tee,125000,USD,125000,,http://www.tomorrowslaundry.com
Extrian Security,https://www.crunchbase.com/organization/extrian-security,2026-01-01,Seed,1-10,"San Francisco, California, United States",Extrian Security offers AI-driven phishing simulations and real-time insights to train teams against social engineering threats.,,,,,https://www.extrian.com/
StrateSea Technology,https://www.crunchbase.com/organization/stratesea-technology,2026-01-12,Seed,1-10,"Lake Oswego, Oregon, United States",StrateSea Technology develops AI/ML software solutions focused on hydrographic and maritime data analysis.,350000,USD,350000,Elevate Capital,https://www.stratesea.com
Legion AI,https://www.crunchbase.com/organization/legion-ai,2026-01-06,Seed,1-10,"New York, New York, United States",Legion AI is a platform that provide services to enable customers to use AI for data analytics.,225000,USD,225000,,https://www.thelegionai.com/
Deep Sea Rare Minerals,https://www.crunchbase.com/organization/deep-sea-rare-minerals,2026-01-23,Seed,1-10,"Mt Pleasant, South Carolina, United States",Deep Sea Rare Minerals is a mineral exploration company that develops subsea mineral resources.,5000000,USD,5000000,,https://www.deepsearareminerals.com/
Munimatrix,https://www.crunchbase.com/organization/munimatrix,2026-01-09,Seed,,"Monmouth Junction, New Jersey, United States",Munimatrix is a data driven tech company that offers a platform to access government municipal documents in one place.,1375000,USD,1375000,,https://www.munimatrix.com/
Kasti.ai,https://www.crunchbase.com/organization/kasti-ai,2026-01-27,Seed,1-10,"Austin, Texas, United States",Kasti.ai is an AI-driven adaptive education platform delivering personalized competency-based learning and analytics.,150000,USD,150000,,https://kasti.ai/
Orchestra Health,https://www.crunchbase.com/organization/orchestra-health-c61c,2026-01-12,Seed,1-10,"San Antonio, Texas, United States","Orchestra Health develops an AI-powered preoperative readiness platform to streamline surgical intake, improve patient outcomes.",1999919,USD,1999919,,https://www.orchestrahealth.com
DiMax.cloud,https://www.crunchbase.com/organization/dimax-cloud,2026-01-12,Seed,,"Fort Worth, Texas, United States",DiMax.cloud is software solution for distributed manufacturing.,2624930,USD,2624930,,https://www.dimax.cloud/
VitaPixel,https://www.crunchbase.com/organization/vitapixel,2026-01-21,Seed,1-10,"Philadelphia, Pennsylvania, United States",VitaPixel is a healthcare technology company that offers a medical device for digital diagnosis of eye problems.,300000,USD,300000,,https://vitapixel.net/
KSHN Pouch Co.,https://www.crunchbase.com/organization/kshn-pouch-co,2026-01-13,Seed,1-10,"Harrison Township, Michigan, United States",KSHN Pouch Co. is a retail company that offers and markets cannabis pouches.,1375000,USD,1375000,,https://kshnpouch.com/
Aeroblox,https://www.crunchbase.com/organization/aeroblox,2026-01-08,Seed,,"Sedona, Arizona, United States",Aeroblox is a web3 company that offers a blockchain based asset management platform.,200000,USD,200000,,https://aeroblox.io/
Reservoir Power,https://www.crunchbase.com/organization/reservoir-power,2026-01-20,Seed,1-10,"Cambridge, Massachusetts, United States",Reservoir Power develops sustainable power grids for high-value power projects.,4114953,USD,4114953,,https://www.reservoirpower.com/
EggNest.ai,https://www.crunchbase.com/organization/eggnest-ai,2026-01-15,Seed,1-10,"Grand Junction, Colorado, United States",EggNest.ai a consulting company that offers solutions and advice on using AI infrastructure to enterprises.,1151757,USD,1151757,,https://www.eggnest.ai/
Rookly,https://www.crunchbase.com/organization/rookly,2026-01-23,Seed,1-10,"New York, New York, United States",Rookly is a online gaming platform that offers a gaming software for learning and playing chess.,2442488,USD,2442488,,https://rookly.com/
Blaze Barrier,https://www.crunchbase.com/organization/blaze-barrier,2026-01-29,Seed,1-10,"California, Usulutan, El Salvador","Blaze Barrier is a scalable, biodegradable wildfire defense system.",760000,USD,760000,Conservation X Labs,https://blaze-barrier.com
DigitalCarbon,https://www.crunchbase.com/organization/digitalcarbon,2026-01-01,Seed,1-10,"San Francisco, California, United States",Digitalcarbon converts images and videos into photorealistic 3D environments.,,,,Y Combinator,https://www.digitalcarbon.ai/
Sound Games,https://www.crunchbase.com/organization/sound-games,2026-01-29,Seed,,"Gig Harbor, Washington, United States",Sound Games develops video games.,6500000,USD,6500000,Point72 Ventures,https://sound.games/
Adgentek,https://www.crunchbase.com/organization/adgentek,2026-01-16,Seed,1-10,"Ormond Beach, Florida, United States",Adgentek is an autonomous AI advertising platform optimizing campaigns with real-time decisions and automation.,664964,USD,664964,,https://adgentek.ai/
Gravity GTM,https://www.crunchbase.com/organization/gravity-gtm,2026-01-16,Seed,1-10,"Lafayette, Colorado, United States",Gravity is a SaaS company that offers a RevAI platform built for modern GTM.,500000,USD,500000,,https://www.gravitygtm.com/
Ready Homes,https://www.crunchbase.com/organization/ready-homes-f5e6,2026-01-07,Seed,,"Miami, Florida, United States",Ready Homes is a company that offers real estate technology services.,3442494,USD,3442494,,
Resolv,https://www.crunchbase.com/organization/resolv-1977,2026-01-12,Seed,1-10,"Truckee, California, United States",Resolv offers an AI-powered platform to automate clean energy incentives to accelerate equitable decarbonization.,585000,USD,585000,,https://www.resolvrebates.com/
Narro Trucks,https://www.crunchbase.com/organization/narro-trucks,2026-01-27,Seed,1-10,"Dublin, Ohio, United States","Narro Trucks is an electric utility vehicles startup designing sustainable, high-performance commercial platforms.",500000,USD,500000,,https://narrotrucks.com/
Safe Online,https://www.crunchbase.com/organization/safe-online-50a5,2026-01-21,Seed,11-50,"New York, New York, United States",Safe Online is a nonprofit organization,2000000,USD,2000000,ICONIQ Capital,https://safeonline.global
MM Brands,https://www.crunchbase.com/organization/mm-brands,2026-01-23,Seed,51-100,"Denver, Colorado, United States",MM Brands is a consumer packaged goods platform within the global legal cannabis sector.,3325000,USD,3325000,,
Quatrefoil Data Services,https://www.crunchbase.com/organization/quatrefoil-data-services,2026-01-28,Seed,1-10,"New York, New York, United States",Quatrefoil Data Services is an institutional-grade crypto benchmarking firm powering reliable digital asset benchmarks.,600000,USD,600000,,https://www.quatrefoildata.com/home
Red Thread AI,https://www.crunchbase.com/organization/red-thread-ai,2026-01-27,Seed,1-10,"Arvada, Colorado, United States",Red Thread AI is a healthtech company that offers a mobile AI platform that connects nursing teams to the hospital supply chain.,1000000,USD,1000000,,https://www.redthread.ai/
Inquoro,https://www.crunchbase.com/organization/inquoro,2026-01-20,Seed,,"Philadelphia, Pennsylvania, United States","Inquoro is a data driven company that offers platform, technology and infrastructure for survey research.",681819,USD,681819,,https://inquoro.io/
Thub,https://www.crunchbase.com/organization/thub,2026-01-26,Seed,1-10,"Issaquah, Washington, United States",Thub is a healthtech company that offers Agentic AI to streamline patient interactions across visitation touchpoints.,1000000,USD,1000000,,https://www.thub.ai/
VelocitiPM,https://www.crunchbase.com/organization/velocitipm,2026-01-15,Seed,11-50,"Phoenix, Arizona, United States",VelocitiPM provides an AI-powered platform for managing the full product development lifecycle in software companies.,115000,USD,115000,,https://www.velocitipm.com
FIVE DISCOVERY,https://www.crunchbase.com/organization/five-discovery,2026-01-22,Seed,11-50,"Charlottesville, Virginia, United States",FIVE DISCOVERY is a neuroscience company developing non-hallucinogenic neuroplastogens to improve brain health and resilience.,150000,USD,150000,,https://www.fivediscovery.com/
DeepCyte,https://www.crunchbase.com/organization/deepcyte,2026-01-29,Seed,1-10,"Wilmington, Delaware, United States",DeepCyte is a biotechnology company that offers predictive products for toxicology using single-cell metabolomics technology.,1445536,USD,1445536,,
Cloud Guidant,https://www.crunchbase.com/organization/cloud-guidant,2026-01-05,Seed,11-50,"Lawrenceville, Georgia, United States","Cloud Guidant is a SaaS company that offers enterprises solutions in cloud infrastructure, data management and data and business analytics.",500000,USD,500000,,https://cloudguidant.com/
CareBestie,https://www.crunchbase.com/organization/carebestie,2026-01-22,Seed,11-50,"Brandon, Florida, United States","CareBestie builds AI-powered voice engagement platforms for home-health, home-care, and post-acute care providers.",4400000,USD,4400000,TLV Partners,https://carebestie.com/
Restoration Climate,https://www.crunchbase.com/organization/restoration-climate,2026-01-23,Seed,1-10,"New York, New York, United States",Restoration Climate is a thematic environmental commodities investment company focussed to help solve the climate crisis.,3009213,USD,3009213,,https://www.restorationclimate.com/
Climatic Health,https://www.crunchbase.com/organization/climatic-health,2026-01-28,Seed,1-10,"New York, New York, United States","Climatic Health develops a lung health system focused on breathing support, respiratory monitoring, and clinically studied methods.",10000000,USD,10000000,Lerer Hippeau,https://www.climatichealth.com/
MOOV,https://www.crunchbase.com/organization/moov-11eb,2026-01-01,Seed,1-10,"Saint Paul, Minnesota, United States",AI-based Service on Demand Marketplace App,,,,,http://themoovapp.com
Carderock Succession,https://www.crunchbase.com/organization/carderock-succession,2026-01-29,Seed,1-10,"Fairfax, Virginia, United States",Carderock Succession is an investor led firm acquiring and scaling U.S. federal government contracting businesses with continuity.,1350133,USD,1350133,,https://carderocksuccession.com/
Voyije,https://www.crunchbase.com/organization/voyije,2026-01-21,Seed,1-10,"Charleston, South Carolina, United States","Voyije is a mobile platform enhancing study abroad engagement, onboarding, journaling, and program insights.",37700,USD,37700,,https://experience.voyije.com/home
ShelfEx,https://www.crunchbase.com/organization/shelfex,2026-01-20,Seed,1-10,"San Francisco, California, United States","ShelfEx provides shelf compliance tracking, shelf monitoring, price comparison, asset generation, and campaign tracking tools. data reports.",100000,USD,100000,,https://shelfexecution.com
Jeng,https://www.crunchbase.com/organization/jeng-9300,2026-01-05,Seed,1-10,"Lafayette, Colorado, United States",Jeng is a beverage brand that produces and sells mocktails.,,,,Quench Ventures,https://sipjeng.com/
Uverest,https://www.crunchbase.com/organization/uverest,2026-01-05,Seed,11-50,"Dover, Delaware, United States",AI Commerce OS,400000,USD,400000,Liju Mathew,https://uverest.com/
Silver Plaza,https://www.crunchbase.com/organization/silver-plaza,2026-01-14,Seed,1-10,"Newark, Delaware, United States",Governance-grade cryptographic infrastructure enabling jurisdiction-bound control and evidence-first access for regulated cloud/SaaS env.,100000,USD,100000,,https://JaaS39.com
Ambar Memories,https://www.crunchbase.com/organization/ambar-memories,2026-01-23,Seed,1-10,"San Jose, California, United States",Ambar Memories offers an augmented memorabilia platform that merges physical keepsakes with immersive digital experiences.,650000,USD,650000,,https://ambarmemories.com/
Bespoke AIR,https://www.crunchbase.com/organization/bespoke-air,2026-01-20,Seed,1-10,"New York, New York, United States",Customized Knowledge Management System for Real Estate Companies,500000,USD,500000,,https://www.bespokeair.ai
Navidence,https://www.crunchbase.com/organization/navidence,2026-01-27,Seed,1-10,"Aurora, Colorado, United States","Navidence offers a transformative RWE Design platform, leveraging CODefs for efficient RWE Design and RWD Assessment.",,,,"Grand Ventures, Nina Capital",https://navidence.com
CareNgen,https://www.crunchbase.com/organization/carengen,2026-01-30,Seed,11-50,"Buffalo, New York, United States",CareNgen offers a platform for eldercare decision support and collaboration for individuals and families caring for older adults.,450000,USD,450000,,https://carengen.com/
Smile Spirits,https://www.crunchbase.com/organization/smile-spirits,2026-01-28,Seed,1-10,"Eagle, Idaho, United States",Smile Spirits is a wine and spirits company that offers various kinds of alcoholic beverages.,250000,USD,250000,,https://smilespirits.com/
Tidal Diagnostic Solutions,https://www.crunchbase.com/organization/tidal-diagnostic-solutions,2026-01-22,Seed,,"Scarborough, Ontario, Canada",Tidal Diagnostic Solutions is a biotechnology company.,227000,USD,227000,,
ExecutiveIQ,https://www.crunchbase.com/organization/executiveiq,2026-01-26,Seed,,"San Francisco, California, United States",ExecutiveIQ is a company that offers technology related services.,555000,USD,555000,,
OmicInsight,https://www.crunchbase.com/organization/omicinsight,2026-01-05,Seed,1-10,"Santa Clara, California, United States",OmicInsight is a biotechnology company that develops AI spatial omics analysis for biopharma research.,,,,LOTTE HB,https://www.omicinsight.com
Lady Liberty Contracting,https://www.crunchbase.com/organization/lady-liberty-contracting,2026-01-22,Seed,,"Brooklyn, New York, United States",Lady Liberty Contracting is a company that offers plumbing and sewer solutions.,3850000,USD,3850000,,https://www.ladylibertycc.com/
CryoFuture,https://www.crunchbase.com/organization/cryofuture,2026-01-13,Seed,1-10,"San Mateo, California, United States",CryoFuture is a tech-enabled cryostorage facility servicing fertility clinics,,,,Liss Capital Partners,https://www.cryofuture.co/
Clipto.AI,https://www.crunchbase.com/organization/clipto-ai,2026-01-05,Seed,11-50,"Palo Alto, California, United States","Clipto.AI develops on-device multimodal AI software for managing, processing, and searching video, audio, and image content.",,,,"GL Ventures, HongShan",https://www.clipto.com
Bevel,https://www.crunchbase.com/organization/bevel-6e41,2026-01-22,Seed,1-10,"Los Angeles, California, United States",Bevel is an AI-powered home inventory app turning photos into organized documentation for insurance.,500000,USD,500000,,https://www.hellobuildable.com/
IndyGeneUS Bio,https://www.crunchbase.com/organization/indygeneus-bio,2026-01-12,Seed,1-10,"Baltimore, Maryland, United States",IndyGeneUS Bio offers genomic data services and research tools.,,,,Baltimore Development Corporation,https://indygeneus.bio
G.R.U. Space,https://www.crunchbase.com/organization/g-r-u-space,2026-01-12,Seed,1-10,"San Francisco, California, United States","G.R.U. Space operates within the emergent space resource utilization sector, specifically pioneering automated lunar mining.",,,,Y Combinator,https://gru.space/
Resilient Core Systems,https://www.crunchbase.com/organization/resilient-core-systems,2026-01-16,Seed,1-10,"Houston, Texas, United States","Resilient Core Systems is a disaster management technology enhancing preparedness, coordination, precision, and rapid recovery worldwide.",10000,USD,10000,,https://resilientcoresystem.com/ 
IRIS Intelligence Group,https://www.crunchbase.com/organization/iris-intelligence-group,2026-01-02,Seed,1-10,"Naples, Florida, United States","IRIS Intelligence Group offers an intelligence request management, routing & resolution platform for law enforcement professionals.",3000000,USD,3000000,,https://www.irisintelgroup.com/
Chip Data Centers,https://www.crunchbase.com/organization/chip-data-centers,2026-01-02,Seed,,"Waterloo, Ontario, Canada",Chip Data Centers offers AI enabled data center for handling sensitive data.,735421,USD,735421,,https://www.chipdatacenters.com/
MedEssist,https://www.crunchbase.com/organization/medessist,2026-01-13,Seed,101-250,"Toronto, Ontario, Canada",Modernizing population-scale health initiatives with the first inventory-based patient relationship tools for pharmacies.,,,,"Google for Startups, Staircase Ventures",https://medessist.ca/
Dioma,https://www.crunchbase.com/organization/dioma-3e52,2026-01-12,Seed,1-10,"Wisconsin Rapids, Wisconsin, United States",Dioma is an EdTech platform for intermediate and advanced learners to achieve real language fluency.,70000,USD,70000,,https://www.dioma.com/
RadixArk,https://www.crunchbase.com/organization/radixark,2026-01-21,Seed,11-50,"San Francisco, California, United States",RadixArk focuses on developing infrastructure for AI inference and training systems.,,,,Accel,https://www.radixark.ai
Leapfrog Bio,https://www.crunchbase.com/organization/leapfrog-bio,2026-01-12,Seed,1-10,"South San Francisco, California, United States",Leapfrog Bio is developing targeted therapies for cancers caused by genetic mutations that are resistant to conventional treatment.,,,,Two Bear Capital,https://www.leapfrog.bio
MAF Hospitality,https://www.crunchbase.com/organization/maf-hospitality,2026-01-28,Seed,1-10,"Pennsylvania Furnace, Pennsylvania, United States",MAF Hospitality is a family run hospitality group celebrating Italian hospitality from vineyard to table.,250000,USD,250000,,https://www.mafhospitality.com/
Herd Security,https://www.crunchbase.com/organization/herd-security,2026-01-20,Seed,1-10,"Los Angeles, California, United States",Herd is a cybersecurity company enabling organizations to secure their workforce against human targeted cyber attacks.,,,,,https://www.herdsecurity.io/
XALTER,https://www.crunchbase.com/organization/xalter,2026-01-29,Seed,11-50,"Tulsa, Oklahoma, United States","XALTER is a video production firm that provides XR strategy, AR and VR content development, and secured deployment services.",,,,EIC Rose Rock,https://www.xalter.com
Genius,https://www.crunchbase.com/organization/genius-acc1,2026-01-13,Seed,11-50,"New York, New York, United States","Genius Trading is a non-custodial, cross-chain crypto trading platform offering spot and perpetual trading with privacy-focused execution.",,,,,https://www.tradegenius.com/
The Sports Bra,https://www.crunchbase.com/organization/the-sports-bra,2026-01-08,Seed,1-10,"Portland, Oregon, United States",Sports Bra aims to create a supportive space that empowers and promotes women in sports while fostering community engagement.,,,,"776 Foundation, Renee Montgomery",https://thesportsbrapdx.com
LitePay,https://www.crunchbase.com/organization/litepay,2026-01-01,Seed,11-50,"Dover, Delaware, United States","Agent-powered Cross-border payment rails for fragmented financial market's B2B and B2C, Pay bills & Become a Money Transfer Agent",,,,,https://mylitepay.com/
CardSight AI,https://www.crunchbase.com/organization/cardsight-ai,2026-01-01,Seed,1-10,"Biddeford, Maine, United States",SaaS Computer Vision Products for Trading Cards & Collectables,,,,,https://cardsight.ai
Case Health AI,https://www.crunchbase.com/organization/case-health-ai,2026-01-15,Seed,1-10,"San Francisco, California, United States","Integrated AI agents automating utilization, quality, and payment integrity for health plans",,,,"a16z Scout Fund, Pioneer Fund, Theory Forge Ventures",https://www.casehealth.ai
ThetaWave AI,https://www.crunchbase.com/organization/thetawave-ai,2026-01-28,Seed,1-10,"Long Island City, New York, United States",ThetaWave AI is dedicated to exploring and creating a new paradigm for education in the era of large-scale models.,,,,"BAI capital, Hillhouse Capital",https://thetawave.ai/
AstroBee,https://www.crunchbase.com/organization/astrobee,2026-01-01,Seed,1-10,"Brooklyn, New York, United States",The first AI agent to build your ontology for you.,,,,,https://astrobee.ai
